mydata,0,1670286694184,1
mydata,0,1670286694184,1
mydata,0,1670286694188,1
mydata,0,1670286694211,1
mydata,0,1670286694274,1
mydata,0,1670286694293,1
mydata,0,1670286694296,1
mydata,0,1670286694298,1
mydata,512,1670286680979,2
mydata,512,1670286689929,3
mydata,0,1670286694322,1
mydata,0,1670286694331,1
mydata,0,1670286694331,1
mydata,0,1670286694381,1
mydata,0,1670286694406,1
mydata,0,1670286694409,1
mydata,0,1670286694409,1
mydata,0,1670286694441,1
mydata,0,1670286681039,2
mydata,0,1670286689975,3
mydata,512,1670286694441,1
mydata,0,1670286694463,1
mydata,0,1670286694510,1
mydata,0,1670286694516,1
mydata,0,1670286694525,1
mydata,0,1670286694529,1
mydata,0,1670286694551,1
mydata,0,1670286694555,1
mydata,0,1670286681169,2
mydata,0,1670286689983,3
mydata,0,1670286694555,1
mydata,512,1670286694557,1
mydata,0,1670286694578,1
mydata,0,1670286694603,1
mydata,0,1670286694618,1
mydata,0,1670286694629,1
mydata,0,1670286694632,1
mydata,0,1670286694655,1
mydata,0,1670286681185,2
mydata,0,1670286690013,3
mydata,0,1670286694682,1
mydata,0,1670286694715,1
mydata,512,1670286694731,1
mydata,0,1670286694737,1
mydata,0,1670286694745,1
mydata,0,1670286694746,1
mydata,0,1670286694746,1
mydata,0,1670286694757,1
mydata,0,1670286681293,2
mydata,0,1670286690224,3
mydata,0,1670286694759,1
mydata,0,1670286694770,1
mydata,0,1670286694776,1
mydata,512,1670286694796,1
mydata,0,1670286694816,1
mydata,0,1670286694857,1
mydata,0,1670286694872,1
mydata,0,1670286694886,1
mydata,0,1670286681304,2
mydata,0,1670286690287,3
mydata,0,1670286694902,1
mydata,0,1670286694925,1
mydata,0,1670286694928,1
mydata,0,1670286694934,1
mydata,512,1670286694937,1
mydata,0,1670286694961,1
mydata,0,1670286694964,1
mydata,0,1670286694974,1
mydata,0,1670286681312,2
mydata,0,1670286690610,3
mydata,0,1670286695004,1
mydata,0,1670286695030,1
mydata,0,1670286695052,1
mydata,0,1670286695116,1
mydata,0,1670286695117,1
mydata,512,1670286695130,1
mydata,0,1670286695140,1
mydata,0,1670286695151,1
mydata,0,1670286681313,2
mydata,0,1670286690746,3
mydata,0,1670286695163,1
mydata,0,1670286695182,1
mydata,0,1670286695213,1
mydata,0,1670286695228,1
mydata,0,1670286695234,1
mydata,0,1670286695240,1
mydata,512,1670286695255,1
mydata,0,1670286695261,1
mydata,0,1670286681375,2
mydata,0,1670286690758,3
mydata,0,1670286695268,1
mydata,0,1670286695290,1
mydata,0,1670286695293,1
mydata,0,1670286695299,1
mydata,0,1670286695325,1
mydata,0,1670286695329,1
mydata,0,1670286695329,1
mydata,512,1670286695330,1
mydata,512,1670286681414,2
mydata,512,1670286690877,3
mydata,0,1670286695336,1
mydata,0,1670286695351,1
mydata,0,1670286695380,1
mydata,0,1670286695419,1
mydata,0,1670286695426,1
mydata,0,1670286695427,1
mydata,0,1670286695442,1
mydata,0,1670286695459,1
mydata,0,1670286681443,2
mydata,0,1670286691032,3
mydata,512,1670286695461,1
mydata,0,1670286695475,1
mydata,0,1670286695481,1
mydata,0,1670286695503,1
mydata,0,1670286695515,1
mydata,0,1670286695520,1
mydata,0,1670286695521,1
mydata,0,1670286695586,1
mydata,0,1670286681503,2
mydata,0,1670286691045,3
mydata,0,1670286695587,1
